Prvcnm,5:00-7:00,7:00-9:00,9:00-11:00,11:00-13:00,13:00-15:00,15:00-17:00,17:00-19:00,19:00-21:00
518,0,1,0,0,0,0,1,1
124,0,3,5,1,3,1,0,1
400,0,0,0,1,0,0,0,0
517,0,0,0,1,0,1,2,1
423,0,0,5,4,11,17,23,7
451,0,2,1,1,4,6,8,4
515,0,1,1,0,4,1,6,2
109,1,8,1,4,11,21,13,5
250,0,4,3,2,4,2,11,5
127,4,1,5,3,3,11,15,9
491,0,2,0,0,4,1,3,1
442,0,1,1,0,0,1,3,1
253,0,2,2,0,2,3,16,8
495,1,0,0,0,0,0,1,1
610,0,0,1,0,0,1,11,2
424,0,0,1,1,3,7,0,0
206,0,1,3,1,1,4,13,1
356,0,0,0,0,0,0,0,1
367,2,1,0,1,0,0,1,0
40,0,10,6,4,4,26,22,5
352,0,0,0,0,2,3,1,0
148,0,0,1,5,15,12,14,14
147,0,4,2,3,1,1,2,0
448,1,1,1,1,0,0,1,2
619,0,0,0,0,1,4,8,1
240,1,2,2,1,5,16,57,27
267,0,1,0,0,0,3,1,2
184,0,0,5,1,4,3,6,11
620,0,6,0,3,5,0,6,6
450,0,0,0,0,2,0,0,1
42,0,2,1,1,0,3,3,3
599,0,1,0,0,0,0,0,1
265,0,0,0,0,1,0,0,2
446,0,0,0,0,0,0,1,2
415,0,1,0,0,0,0,0,1
270,0,0,0,0,1,1,0,2
618,0,0,1,1,1,0,4,2
330,0,1,3,1,1,2,3,4
3,0,0,4,12,32,22,3,1
150,1,0,6,2,9,5,2,4
365,1,3,3,0,3,4,5,2
132,0,1,0,1,0,3,2,3
577,0,0,0,0,0,0,0,2
402,0,1,3,1,1,1,1,1
604,0,1,1,5,7,13,5,2
213,0,5,3,3,3,5,22,5
315,0,0,1,0,2,7,15,3
397,0,0,1,0,0,0,1,0
399,0,1,1,0,0,0,1,0
597,0,2,0,2,2,3,10,3
9,2,1,1,0,0,0,5,0
609,0,2,0,1,0,0,5,1
431,0,0,0,0,0,0,1,0
483,0,0,0,1,0,6,6,1
471,0,3,1,0,1,1,1,0
470,0,0,0,0,0,1,2,0
605,0,1,0,2,0,5,4,1
611,0,0,0,1,0,1,3,0
215,0,3,2,1,1,1,4,2
275,0,3,0,1,4,1,5,1
280,0,4,1,1,0,0,2,0
410,0,1,0,0,1,0,1,0
403,0,0,1,0,0,3,4,2
453,0,0,0,0,0,2,5,0
591,0,0,0,0,0,3,1,0
585,0,0,2,0,1,1,3,0
427,0,0,0,1,0,2,1,0
406,0,2,3,2,3,6,1,0
592,0,0,2,0,0,1,1,1
614,0,0,2,0,2,3,0,0
422,0,0,1,0,1,5,1,0
95,0,0,0,0,0,1,0,0
522,0,1,0,0,0,1,0,0
616,0,1,0,0,0,3,1,0
436,0,1,0,0,0,6,1,0
200,0,0,0,0,2,1,3,0
375,0,0,1,0,1,1,0,0
578,0,0,0,0,0,1,0,0
439,0,2,0,0,0,2,1,0
193,0,0,1,0,0,1,0,1
443,0,0,0,0,1,0,0,0
508,0,0,0,0,4,0,0,0
201,0,0,0,0,1,0,1,1
554,0,0,0,0,1,0,0,0
496,0,0,1,0,1,0,1,0
612,0,0,0,0,1,2,1,2
271,0,0,1,0,1,1,0,0
355,0,0,0,0,2,1,0,1
369,0,0,0,1,1,0,0,0
545,0,0,0,0,1,0,0,0
351,0,1,2,0,1,0,0,0
428,0,0,0,2,0,1,0,0
335,0,0,2,1,1,3,0,3
477,0,1,3,0,0,0,1,0
377,0,0,3,0,0,1,3,0
218,0,4,1,0,0,0,0,1
412,0,0,1,0,0,0,0,0
208,0,2,1,1,0,1,0,0
366,0,1,6,0,1,0,0,0
11,0,0,1,1,0,0,0,0
615,0,0,1,0,1,0,0,0
354,1,3,1,0,0,0,0,2
179,0,2,3,1,1,0,0,1
281,0,1,2,0,0,0,0,0
494,0,4,0,0,0,0,0,0
590,0,3,2,0,0,0,0,0
455,0,2,0,0,0,0,1,0
526,0,3,0,0,0,0,0,0
101,0,1,0,0,2,2,0,0
589,2,0,0,0,0,0,0,0
594,0,0,0,0,0,0,0,0
466,0,0,0,0,0,0,0,0
430,0,0,0,0,0,0,0,1
368,0,0,0,0,0,0,1,1
378,0,2,1,0,0,0,1,0
535,0,0,0,0,0,0,1,0
445,0,0,0,0,0,0,2,0
574,0,0,0,1,0,0,1,0
408,0,0,0,0,0,0,1,0
388,0,1,0,0,0,1,0,0
533,0,0,0,0,1,0,0,0
564,0,0,0,0,1,0,0,0
584,0,0,0,0,0,0,0,0
392,0,0,1,0,0,0,0,0
598,0,2,0,0,0,0,0,0
468,1,1,0,0,0,1,0,0
467,0,0,0,0,1,0,1,2
608,0,0,0,0,0,0,0,1
595,0,0,0,0,0,0,0,1
552,0,0,0,0,0,1,0,0
573,0,0,0,0,0,1,0,0
12,0,0,0,0,0,1,0,0
102,0,0,0,0,0,1,0,0
568,0,0,0,0,1,0,0,0
532,0,1,0,0,0,0,0,0
385,0,0,0,0,0,0,1,0
