Prvcnm,5:00-7:00,7:00-9:00,9:00-11:00,11:00-13:00,13:00-15:00,15:00-17:00,17:00-19:00,19:00-21:00
336,0,0,0,1,0,0,1,0
495,0,0,0,0,0,0,1,0
205,0,1,1,2,0,1,2,0
472,0,0,0,0,0,1,0,0
335,0,0,0,0,1,0,0,0
249,0,0,1,0,0,0,0,0
179,0,0,1,0,0,0,0,0
392,0,1,0,0,0,0,0,0
510,0,1,0,0,0,0,0,1
162,0,2,0,0,0,0,0,0
271,0,1,0,0,0,0,0,0
485,0,2,0,0,0,0,0,0
377,0,2,0,0,0,0,1,0
585,0,0,0,0,0,0,0,0
498,0,0,0,0,0,0,0,0
603,0,0,1,0,1,0,0,1
545,0,0,0,0,0,0,0,1
42,0,0,0,0,0,0,2,0
597,0,0,0,0,0,0,1,0
368,0,0,0,0,1,0,0,0
11,0,0,0,0,1,0,0,0
544,0,0,0,0,1,0,0,0
399,0,0,0,0,0,0,0,0
208,0,1,0,1,0,0,0,0
381,0,0,1,0,0,0,0,0
459,0,0,1,0,0,0,0,0
252,0,2,0,0,0,0,0,0
535,0,1,0,0,0,0,0,0
171,0,0,0,1,0,0,0,0
352,0,0,0,0,0,0,0,0
